 	TIME        	YEARS       	WWCT        	WOPR        	WWPR        	WLPR        	WBHP        	WWIR        	FPR                      
	 1.000000	    0.002738	    5.14E-05	    4999.743	    0.257040	    5000.000	    2965.880	    6034.947	    3229.486	                 
	 31.00000	    0.084873	    4.21E-05	    4999.790	    0.210273	    5000.000	    2953.291	    6035.060	    3226.543	                 
	 61.00000	    0.167009	    3.66E-05	    4999.817	    0.183214	    5000.000	    2952.159	    6035.144	    3224.303	                 
	 91.00000	    0.249144	    3.34E-05	    4999.833	    0.167224	    5000.000	    2950.938	    6035.236	    3222.325	                 
	 121.0000	    0.331280	    3.13E-05	    4999.843	    0.156723	    5000.000	    2949.539	    6035.295	    3220.541	                 
	 151.0000	    0.413415	    2.98E-05	    4999.851	    0.149105	    5000.000	    2947.996	    6035.365	    3218.884	                 
	 181.0000	    0.495551	    2.87E-05	    4999.856	    0.143446	    5000.000	    2946.301	    6035.430	    3217.349	                 
	 211.0000	    0.577686	    2.79E-05	    4999.861	    0.139254	    5000.000	    2944.419	    6035.489	    3215.929	                 
	 241.0000	    0.659822	    2.73E-05	    4999.864	    0.136341	    5000.000	    2942.285	    6035.544	    3214.615	                 
	 271.0000	    0.741958	    2.69E-05	    4999.865	    0.134572	    5000.000	    2939.828	    6035.595	    3213.406	                 
	 301.0000	    0.824093	    2.68E-05	    4999.866	    0.134009	    5000.000	    2936.963	    6035.641	    3212.313	                 
	 331.0000	    0.906229	    2.69E-05	    4999.865	    0.134692	    5000.000	    2933.544	    6035.682	    3211.340	                 
	 361.0000	    0.988364	    2.74E-05	    4999.863	    0.136925	    5000.000	    2929.333	    6035.718	    3210.496	                 
	 391.0000	    1.070500	    2.82E-05	    4999.859	    0.141047	    5000.000	    2924.025	    6035.748	    3209.817	                 
	 421.0000	    1.152635	    2.96E-05	    4999.852	    0.147863	    5000.000	    2917.032	    6035.770	    3209.342	                 
	 451.0000	    1.234771	    3.21E-05	    4999.840	    0.160321	    5000.000	    2907.222	    6035.781	    3209.150	                 
	 481.0000	    1.316906	    4.94E-05	    4999.753	    0.247137	    5000.000	    2892.054	    6035.762	    3209.412	                 
	 511.0000	    1.399042	    0.001024	    4994.877	    5.122378	    5000.000	    2861.085	    6034.728	    3210.530	                 
	 541.0000	    1.481177	    0.072833	    4635.837	    364.1626	    5000.000	    2757.154	    5960.261	    3213.413	                 
	 571.0000	    1.563313	    0.363630	    3181.849	    1818.151	    5000.000	    2643.213	    5659.002	    3217.241	                 
	 601.0000	    1.645448	    0.562729	    2186.355	    2813.645	    5000.000	    2608.664	    5452.768	    3219.662	                 
	 631.0000	    1.727584	    0.663204	    1683.980	    3316.020	    5000.000	    2600.869	    5348.718	    3221.082	                 
	 661.0000	    1.809719	    0.728043	    1359.785	    3640.215	    5000.000	    2601.052	    5281.568	    3222.068	                 
	 691.0000	    1.891855	    0.772328	    1138.359	    3861.641	    5000.000	    2603.855	    5235.709	    3222.803	                 
	 721.0000	    1.973990	    0.803714	    981.4290	    4018.571	    5000.000	    2608.219	    5203.209	    3223.384	                 
	 751.0000	    2.056126	    0.827147	    864.2650	    4135.735	    5000.000	    2612.115	    5178.946	    3223.857	                 
	 781.0000	    2.138262	    0.845173	    774.1331	    4225.867	    5000.000	    2615.608	    5160.281	    3224.257	                 
	 811.0000	    2.220397	    0.859360	    703.2009	    4296.799	    5000.000	    2618.774	    5145.593	    3224.608	                 
	 841.0000	    2.302532	    0.870949	    645.2529	    4354.747	    5000.000	    2621.678	    5133.593	    3224.928	                 
	 871.0000	    2.384668	    0.880655	    596.7256	    4403.274	    5000.000	    2624.384	    5123.544	    3225.222	                 
	 901.0000	    2.466804	    0.888899	    555.5042	    4444.496	    5000.000	    2626.913	    5115.009	    3225.500	                 
	 931.0000	    2.548939	    0.896023	    519.8843	    4480.116	    5000.000	    2629.321	    5107.633	    3225.764	                 
	 961.0000	    2.631075	    0.902282	    488.5913	    4511.409	    5000.000	    2631.723	    5101.153	    3226.017	                 
	 991.0000	    2.713210	    0.907695	    461.5237	    4538.477	    5000.000	    2634.776	    5095.549	    3226.244	                 
	 1021.000	    2.795346	    0.912761	    436.1938	    4563.806	    5000.000	    2637.803	    5090.304	    3226.473	                 
	 1051.000	    2.877481	    0.917342	    413.2921	    4586.708	    5000.000	    2640.752	    5085.562	    3226.718	                 
	 1081.000	    2.959617	    0.921567	    392.1665	    4607.833	    5000.000	    2643.632	    5081.188	    3226.959	                 
	 1111.000	    3.041752	    0.925391	    373.0427	    4626.958	    5000.000	    2646.583	    5077.228	    3227.219	                 
	 1141.000	    3.123888	    0.928840	    355.8022	    4644.198	    5000.000	    2649.960	    5073.658	    3227.447	                 
	 1171.000	    3.206023	    0.932208	    338.9608	    4661.039	    5000.000	    2653.286	    5070.171	    3227.672	                 
	 1201.000	    3.288159	    0.935382	    323.0876	    4676.913	    5000.000	    2656.475	    5066.884	    3227.877	                 
	 1231.000	    3.370294	    0.938335	    308.3264	    4691.674	    5000.000	    2659.569	    5063.828	    3228.092	                 
	 1261.000	    3.452430	    0.941164	    294.1803	    4705.820	    5000.000	    2662.575	    5060.899	    3228.311	                 
	 1291.000	    3.534565	    0.943850	    280.7508	    4719.249	    5000.000	    2665.447	    5058.118	    3228.510	                 
	 1321.000	    3.616701	    0.946384	    268.0793	    4731.921	    5000.000	    2668.208	    5055.495	    3228.720	                 
	 1351.000	    3.698836	    0.948807	    255.9644	    4744.036	    5000.000	    2670.863	    5052.986	    3228.925	                 
	 1381.000	    3.780972	    0.950978	    245.1114	    4754.889	    5000.000	    2673.778	    5050.739	    3229.133	                 
	 1411.000	    3.863107	    0.953092	    234.5388	    4765.461	    5000.000	    2676.750	    5048.550	    3229.335	                 
	 1441.000	    3.945243	    0.955159	    224.2068	    4775.793	    5000.000	    2679.631	    5046.411	    3229.532	                 
