	TIME        	YEARS       	WWCT        	WOPR        	WWPR        	WLPR        	WBHP        	WWIR        	FPR                      
	 1.000000	    0.002738	    5.91E-05	    4999.705	    0.295366	    5000.000	    2932.547	    6034.906	    3230.291	                 
	 31.00000	    0.084873	    5.06E-05	    4999.747	    0.253053	    5000.000	    2910.286	    6035.053	    3226.472	                 
	 61.00000	    0.167009	    4.48E-05	    4999.776	    0.224032	    5000.000	    2909.309	    6035.177	    3223.424	                 
	 91.00000	    0.249144	    4.18E-05	    4999.791	    0.209121	    5000.000	    2906.864	    6035.287	    3220.373	                 
	 121.0000	    0.331280	    4.05E-05	    4999.798	    0.202295	    5000.000	    2902.515	    6035.393	    3217.020	                 
	 151.0000	    0.413415	    3.97E-05	    4999.801	    0.198669	    5000.000	    2897.880	    6035.526	    3213.830	                 
	 181.0000	    0.495551	    3.94E-05	    4999.803	    0.196911	    5000.000	    2893.221	    6035.647	    3211.015	                 
	 211.0000	    0.577686	    3.93E-05	    4999.803	    0.196720	    5000.000	    2888.417	    6035.751	    3208.575	                 
	 241.0000	    0.659822	    3.96E-05	    4999.802	    0.197953	    5000.000	    2883.195	    6035.841	    3206.448	                 
	 271.0000	    0.741958	    4.01E-05	    4999.799	    0.200736	    5000.000	    2877.415	    6035.920	    3204.614	                 
	 301.0000	    0.824093	    4.11E-05	    4999.794	    0.205445	    5000.000	    2870.641	    6035.987	    3203.051	                 
	 331.0000	    0.906229	    4.25E-05	    4999.788	    0.212562	    5000.000	    2862.490	    6036.042	    3201.804	                 
	 361.0000	    0.988364	    4.50E-05	    4999.775	    0.225152	    5000.000	    2852.138	    6036.081	    3200.958	                 
	 391.0000	    1.070500	    5.99E-05	    4999.701	    0.299431	    5000.000	    2837.677	    6036.090	    3200.665	                 
	 421.0000	    1.152635	    0.000728	    4996.362	    3.637587	    5000.000	    2812.130	    6035.394	    3201.286	                 
	 451.0000	    1.234771	    0.042300	    4788.498	    211.5021	    5000.000	    2740.005	    5992.269	    3203.424	                 
	 481.0000	    1.316906	    0.191208	    4043.960	    956.0403	    5000.000	    2656.314	    5837.889	    3206.971	                 
	 511.0000	    1.399042	    0.369331	    3153.346	    1846.654	    5000.000	    2587.232	    5653.263	    3210.804	                 
	 541.0000	    1.481177	    0.512883	    2435.583	    2564.417	    5000.000	    2547.923	    5504.531	    3213.650	                 
	 571.0000	    1.563313	    0.613807	    1930.963	    3069.038	    5000.000	    2530.759	    5399.954	    3215.774	                 
	 601.0000	    1.645448	    0.682510	    1587.449	    3412.551	    5000.000	    2524.906	    5328.777	    3217.397	                 
	 631.0000	    1.727584	    0.731830	    1340.851	    3659.149	    5000.000	    2523.670	    5277.687	    3218.695	                 
