 	TIME        	YEARS       	WWCT        	WOPR        	WWPR        	WLPR        	WBHP        	WWIR        	FPR                      
	 1.000000	    0.002738	    6.92E-05	    4999.654	    0.346213	    5000.000	    2881.776	    6034.914	    3229.812	                 
	 31.00000	    0.084873	    5.73E-05	    4999.713	    0.286528	    5000.000	    2856.391	    6035.082	    3225.504	                 
	 61.00000	    0.167009	    5.04E-05	    4999.748	    0.251917	    5000.000	    2855.517	    6035.225	    3221.966	                 
	 91.00000	    0.249144	    4.70E-05	    4999.765	    0.235167	    5000.000	    2852.173	    6035.361	    3218.024	                 
	 121.0000	    0.331280	    4.60E-05	    4999.770	    0.229907	    5000.000	    2845.131	    6035.511	    3212.969	                 
	 151.0000	    0.413415	    4.58E-05	    4999.771	    0.229072	    5000.000	    2837.279	    6035.720	    3208.034	                 
	 181.0000	    0.495551	    4.55E-05	    4999.773	    0.227284	    5000.000	    2831.660	    6035.890	    3204.622	                 
	 211.0000	    0.577686	    4.50E-05	    4999.775	    0.225186	    5000.000	    2827.343	    6035.996	    3202.490	                 
	 241.0000	    0.659822	    4.50E-05	    4999.775	    0.225013	    5000.000	    2822.421	    6036.068	    3200.879	                 
	 271.0000	    0.741958	    4.55E-05	    4999.772	    0.227376	    5000.000	    2816.280	    6036.125	    3199.571	                 
	 301.0000	    0.824093	    4.66E-05	    4999.767	    0.232845	    5000.000	    2808.410	    6036.171	    3198.582	                 
	 331.0000	    0.906229	    4.86E-05	    4999.757	    0.243032	    5000.000	    2797.911	    6036.201	    3197.978	                 
	 361.0000	    0.988364	    5.75E-05	    4999.712	    0.287742	    5000.000	    2782.671	    6036.207	    3197.894	                 
	 391.0000	    1.070500	    0.000429	    4997.856	    2.143913	    5000.000	    2755.084	    6035.811	    3198.639	                 
	 421.0000	    1.152635	    0.036124	    4819.382	    180.6176	    5000.000	    2664.389	    5998.766	    3200.971	                 
	 451.0000	    1.234771	    0.208778	    3956.111	    1043.889	    5000.000	    2548.159	    5819.760	    3204.816	                 
	 481.0000	    1.316906	    0.382143	    3089.284	    1910.716	    5000.000	    2476.682	    5640.046	    3208.454	                 
	 511.0000	    1.399042	    0.509676	    2451.621	    2548.379	    5000.000	    2432.742	    5507.895	    3211.229	                 
	 541.0000	    1.481177	    0.603702	    1981.492	    3018.509	    5000.000	    2411.156	    5410.461	    3213.410	                 
	 571.0000	    1.563313	    0.671590	    1642.052	    3357.948	    5000.000	    2403.946	    5340.117	    3215.155	                 
	 601.0000	    1.645448	    0.721786	    1391.071	    3608.929	    5000.000	    2401.955	    5288.112	    3216.578	                 
	 631.0000	    1.727584	    0.759816	    1200.920	    3799.080	    5000.000	    2403.350	    5248.715	    3217.777	                 
	 661.0000	    1.809719	    0.790078	    1049.609	    3950.392	    5000.000	    2405.545	    5217.368	    3218.813	                 
	 691.0000	    1.891855	    0.814502	    927.4922	    4072.508	    5000.000	    2408.530	    5192.071	    3219.726	                 
	 721.0000	    1.973990	    0.834326	    828.3688	    4171.631	    5000.000	    2412.323	    5171.538	    3220.544	                 
	 751.0000	    2.056126	    0.850772	    746.1404	    4253.860	    5000.000	    2416.288	    5154.505	    3221.287	                 
	 781.0000	    2.138262	    0.864617	    676.9137	    4323.086	    5000.000	    2420.158	    5140.166	    3221.964	                 
	 811.0000	    2.220397	    0.876384	    618.0814	    4381.918	    5000.000	    2423.854	    5127.980	    3222.584	                 
	 841.0000	    2.302532	    0.886371	    568.1428	    4431.857	    5000.000	    2427.931	    5117.638	    3223.157	                 
	 871.0000	    2.384668	    0.895051	    524.7447	    4475.255	    5000.000	    2432.422	    5108.649	    3223.700	                 
	 901.0000	    2.466804	    0.902799	    486.0051	    4513.995	    5000.000	    2436.863	    5100.626	    3224.208	                 
	 931.0000	    2.548939	    0.909432	    452.8395	    4547.161	    5000.000	    2442.916	    5093.757	    3224.695	                 
	 961.0000	    2.631075	    0.915541	    422.2957	    4577.704	    5000.000	    2448.738	    5087.432	    3225.138	                 
	 991.0000	    2.713210	    0.920977	    395.1156	    4604.884	    5000.000	    2454.625	    5081.803	    3225.559	                 
	 1021.000	    2.795346	    0.925915	    370.4247	    4629.575	    5000.000	    2460.158	    5076.690	    3225.975	                 
	 1051.000	    2.877481	    0.930454	    347.7311	    4652.269	    5000.000	    2465.319	    5071.990	    3226.371	                 
	 1081.000	    2.959617	    0.934426	    327.8696	    4672.130	    5000.000	    2470.352	    5067.877	    3226.773	                 
	 1111.000	    3.041752	    0.938145	    309.2756	    4690.724	    5000.000	    2475.148	    5064.027	    3227.141	                 
	 1141.000	    3.123888	    0.941559	    292.2053	    4707.795	    5000.000	    2479.648	    5060.492	    3227.502	                 
	 1171.000	    3.206023	    0.944669	    276.6546	    4723.345	    5000.000	    2483.866	    5057.272	    3227.843	                 
	 1201.000	    3.288159	    0.947525	    262.3742	    4737.626	    5000.000	    2487.817	    5054.315	    3228.180	                 
	 1231.000	    3.370294	    0.950142	    249.2900	    4750.710	    5000.000	    2491.480	    5051.606	    3228.481	                 
	 1261.000	    3.452430	    0.952557	    237.2162	    4762.784	    5000.000	    2494.914	    5049.106	    3228.786	                 
	 1291.000	    3.534565	    0.954796	    226.0181	    4773.982	    5000.000	    2498.135	    5046.787	    3229.084	                 
	 1321.000	    3.616701	    0.956883	    215.5834	    4784.417	    5000.000	    2501.159	    5044.627	    3229.372	                 
	 1351.000	    3.698836	    0.958834	    205.8304	    4794.169	    5000.000	    2504.018	    5042.607	    3229.652	                 
	 1381.000	    3.780972	    0.960667	    196.6639	    4803.336	    5000.000	    2506.713	    5040.709	    3229.925	                 
	 1411.000	    3.863107	    0.962397	    188.0149	    4811.985	    5000.000	    2509.260	    5038.918	    3230.189	                 
	 1441.000	    3.945243	    0.964023	    179.8838	    4820.116	    5000.000	    2511.664	    5037.235	    3230.440	                 
